id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
70,2025-01-27 09:02:29.035352+01,LBG-HJ8P1,Glycan LBG-HJ8P1,3,"",14,1
71,2025-01-27 09:52:27.487211+01,LBG-F64OH,Glycan LBG-F64OH,1,"[{""added"": {}}]",14,1
72,2025-01-27 09:52:45.80029+01,11,H3N2,1,"[{""added"": {}}]",15,1
73,2025-01-27 09:53:42.755396+01,4,undefined,1,"[{""added"": {}}]",9,1
74,2025-01-27 09:53:49.35654+01,2,undefined - undefined,1,"[{""added"": {}}]",11,1
75,2025-01-27 09:53:56.11343+01,4,undefined - undefined,1,"[{""added"": {}}]",10,1
76,2025-01-27 09:53:57.145735+01,6,undefined - undefined - undefined - undefined - undefined,1,"[{""added"": {}}]",12,1
77,2025-01-27 09:55:30.682532+01,3,GlycoStore: a database of retention properties for glycan analysis | Bioinformatics | 2018 | DOI: 10.1093/bioinformatics/bty319,1,"[{""added"": {}}]",13,1
78,2025-01-27 09:55:55.391838+01,LBG-TCV1O,Glycan LBG-TCV1O,1,"[{""added"": {}}]",14,1
79,2025-01-27 09:56:42.02533+01,LBG-8Z1IN,Glycan LBG-8Z1IN,1,"[{""added"": {}}]",14,1
80,2025-01-27 09:57:00.313358+01,12,H3N3,1,"[{""added"": {}}]",15,1
81,2025-01-27 09:57:18.660584+01,LBG-6TW5H,Glycan LBG-6TW5H,1,"[{""added"": {}}]",14,1
82,2025-01-27 09:59:05.603012+01,LBG-7BYI0,Glycan LBG-7BYI0,1,"[{""added"": {}}]",14,1
83,2025-01-27 09:59:31.897084+01,13,H3N2P1,1,"[{""added"": {}}]",15,1
84,2025-01-27 09:59:50.372888+01,13,H3N2P1,3,"",15,1
85,2025-01-27 10:00:56.869107+01,LBG-6CF99,Glycan LBG-6CF99,1,"[{""added"": {}}]",14,1
86,2025-01-27 10:02:21.274235+01,LBG-3VC09,Glycan LBG-3VC09,1,"[{""added"": {}}]",14,1
87,2025-01-27 10:03:37.517427+01,LBG-X4NJX,Glycan LBG-X4NJX,1,"[{""added"": {}}]",14,1
88,2025-01-27 10:04:16.346746+01,LBG-3BTMM,Glycan LBG-3BTMM,1,"[{""added"": {}}]",14,1
89,2025-01-27 10:06:04.671129+01,LBG-4EU0M,Glycan LBG-4EU0M,1,"[{""added"": {}}]",14,1
90,2025-01-27 10:07:09.864394+01,5,Fetal - NaN,1,"[{""added"": {}}]",10,1
91,2025-01-27 10:07:12.098797+01,7,Human - Brain - Cortex - Fetal - NaN,1,"[{""added"": {}}]",12,1
